epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,5463.61,0.27625,0.21467,0.81238,0.93927,0.73739,0.8163,0.70276,0.40651,0.35836,0.86689,1.91747e-05,1.91747e-05,1.91747e-05
99,5520.35,0.27881,0.21662,0.81183,0.92744,0.74636,0.81892,0.70584,0.40522,0.35536,0.86334,1.83415e-05,1.83415e-05,1.83415e-05
100,5575.59,0.27166,0.21001,0.81525,0.9355,0.73502,0.81886,0.70437,0.41038,0.36081,0.86931,1.75083e-05,1.75083e-05,1.75083e-05
101,5630.21,0.27557,0.21035,0.81158,0.93123,0.73605,0.81461,0.70329,0.41093,0.35402,0.8718,1.6675e-05,1.6675e-05,1.6675e-05
102,5685.14,0.2758,0.2121,0.81273,0.95436,0.72685,0.82013,0.7057,0.4086,0.36303,0.86502,1.58418e-05,1.58418e-05,1.58418e-05
103,5740.14,0.27259,0.20879,0.81246,0.93258,0.73898,0.8256,0.70909,0.40392,0.3454,0.8614,1.50085e-05,1.50085e-05,1.50085e-05
104,5795.16,0.27047,0.20449,0.80994,0.93052,0.72934,0.82223,0.70688,0.40939,0.36208,0.86666,1.41753e-05,1.41753e-05,1.41753e-05
105,5850.59,0.26634,0.20475,0.81051,0.91975,0.74467,0.82363,0.70902,0.40971,0.36388,0.86631,1.3342e-05,1.3342e-05,1.3342e-05
106,5907.44,0.26779,0.20544,0.81248,0.92656,0.74908,0.82209,0.7088,0.40447,0.36274,0.86396,1.25087e-05,1.25087e-05,1.25087e-05
107,5963.93,0.26541,0.20425,0.81158,0.92406,0.74566,0.8198,0.70453,0.40809,0.3632,0.86774,1.16755e-05,1.16755e-05,1.16755e-05
108,6020.92,0.2739,0.20913,0.80987,0.94062,0.73433,0.82142,0.70801,0.40482,0.36469,0.8637,1.08422e-05,1.08422e-05,1.08422e-05
109,6077.5,0.27005,0.20515,0.8082,0.9571,0.72905,0.82432,0.70917,0.39717,0.3558,0.85828,1.0009e-05,1.0009e-05,1.0009e-05
110,6134.78,0.26695,0.20004,0.80969,0.94963,0.73796,0.82482,0.70972,0.39357,0.34836,0.8545,9.17575e-06,9.17575e-06,9.17575e-06
111,6224.03,0.23366,0.16776,0.78682,0.95606,0.7326,0.81921,0.70545,0.40697,0.35863,0.86596,8.3425e-06,8.3425e-06,8.3425e-06
112,6279.67,0.22715,0.16735,0.78488,0.96,0.72842,0.82147,0.70738,0.40491,0.36063,0.86703,7.50925e-06,7.50925e-06,7.50925e-06
113,6334.4,0.2304,0.16758,0.78137,0.94516,0.74334,0.82203,0.70671,0.4044,0.35412,0.86744,6.676e-06,6.676e-06,6.676e-06
114,6389.7,0.22629,0.16413,0.78258,0.95769,0.73386,0.82093,0.70498,0.40549,0.35621,0.86872,5.84275e-06,5.84275e-06,5.84275e-06
115,6445.58,0.22904,0.16431,0.78385,0.95935,0.73118,0.8208,0.70538,0.40608,0.35151,0.86926,5.0095e-06,5.0095e-06,5.0095e-06
116,6501.14,0.22814,0.16564,0.78226,0.9541,0.73621,0.82126,0.70583,0.40665,0.35072,0.87073,4.17625e-06,4.17625e-06,4.17625e-06
117,6556.64,0.22684,0.16322,0.78147,0.95573,0.73439,0.82274,0.70899,0.40688,0.35335,0.87055,3.343e-06,3.343e-06,3.343e-06
118,6613.49,0.2272,0.16462,0.78054,0.95208,0.73996,0.82343,0.70947,0.40658,0.35436,0.86979,2.50975e-06,2.50975e-06,2.50975e-06
119,6670.71,0.22721,0.16289,0.78273,0.95536,0.73549,0.82175,0.70856,0.40674,0.35198,0.87073,1.6765e-06,1.6765e-06,1.6765e-06
120,6727.38,0.23156,0.16566,0.78203,0.95358,0.7363,0.82217,0.70808,0.40453,0.34962,0.86844,8.4325e-07,8.4325e-07,8.4325e-07
